Apr 1  2023,Apr 10  2023,Apr 11  2023,Apr 12  2023,Apr 13  2023,Apr 14  2023,Apr 15  2023,Apr 16  2023,Apr 17  2023,Apr 18  2023,Apr 19  2023,Apr 2  2023,Apr 20  2023,Apr 21  2023,Apr 22  2023,Apr 23  2023,Apr 24  2023,Apr 25  2023,Apr 26  2023,Apr 27  2023,Apr 28  2023,Apr 29  2023,Apr 3  2023,Apr 30  2023,Apr 4  2023,Apr 5  2023,Apr 6  2023,Apr 7  2023,Apr 8  2023,Apr 9  2023,Feb 10  2023,Feb 11  2023,Feb 12  2023,Feb 13  2023,Feb 14  2023,Feb 15  2023,Feb 16  2023,Feb 17  2023,Feb 18  2023,Feb 19  2023,Feb 20  2023,Feb 21  2023,Feb 22  2023,Feb 23  2023,Feb 24  2023,Feb 25  2023,Feb 26  2023,Feb 27  2023,Feb 28  2023,Feb 8  2023,Feb 9  2023,Mar 1  2023,Mar 10  2023,Mar 11  2023,Mar 12  2023,Mar 13  2023,Mar 14  2023,Mar 15  2023,Mar 16  2023,Mar 17  2023,Mar 18  2023,Mar 19  2023,Mar 2  2023,Mar 20  2023,Mar 21  2023,Mar 22  2023,Mar 23  2023,Mar 24  2023,Mar 25  2023,Mar 26  2023,Mar 27  2023,Mar 28  2023,Mar 29  2023,Mar 3  2023,Mar 30  2023,Mar 31  2023,Mar 4  2023,Mar 5  2023,Mar 6  2023,Mar 7  2023,Mar 8  2023,Mar 9  2023,May 1  2023,May 10  2023,May 11  2023,May 12  2023,May 13  2023,May 14  2023,May 15  2023,May 16  2023,May 17  2023,May 18  2023,May 19  2023,May 2  2023,May 20  2023,May 21  2023,May 22  2023,May 23  2023,May 24  2023,May 3  2023,May 4  2023,May 5  2023,May 6  2023,May 7  2023,May 8  2023,May 9  2023,Unnamed: 8
4,1,4,5,6,3,2,2,1,1,1,2,3,8,8,6,3,5,8,8,8,4,1,2,2,4,6,2,5,1,7,8,6,4,5,2,2,4,5,9,4,2,0,1,0,2,3,5,6,4,7,8,12,8,11,12,11,11,11,12,13,4,7,5,5,8,9,9,10,8,6,9,9,9,9,7,4,6,4,9,8,9,2,9,7,7,4,2,5,8,5,5,5,3,6,0,3,5,6,4,6,2,6,2,4,10,
33,11,12,18,23,29,30,12,11,12,15,15,22,45,47,19,15,17,17,23,32,40,10,27,13,12,16,19,22,12,29,37,15,14,15,15,12,22,36,36,30,18,11,12,19,22,10,14,15,14,16,16,33,40,20,21,18,14,14,29,37,15,19,13,14,17,19,32,29,18,13,13,15,20,20,24,24,10,13,15,15,20,11,14,17,22,18,8,11,16,19,24,30,10,30,13,12,14,16,14,17,28,27,13,9,12,
-87.97%,-90.80%,-65.22%,-71.43%,-73.77%,-89.57%,-93.22%,-83.33%,-90.91%,-91.49%,-93.33%,-86.44%,-86.59%,-82.07%,-83.07%,-68.83%,-80.00%,-69.70%,-53.62%,-64.64%,-74.90%,-89.97%,-89.61%,-92.59%,-84.00%,-67.68%,-63.36%,-89.68%,-77.14%,-91.30%,-75.65%,-78.38%,-59.32%,-71.68%,-67.48%,-86.89%,-83.51%,-81.61%,-86.16%,-74.83%,-86.55%,-88.65%,-100.00%,-91.49%,-100.00%,-91.06%,-68.42%,-64.29%,-58.97%,-71.68%,-56.92%,-48.80%,-63.91%,-80.06%,-43.59%,-43.53%,-39.31%,-18.52%,-23.48%,-58.80%,-64.63%,-72.88%,-62.91%,-62.62%,-63.96%,-51.52%,-53.25%,-71.65%,-65.52%,-54.61%,-53.85%,-30.77%,-40.00%,-55.00%,-53.85%,-70.21%,-83.16%,-41.46%,-68.00%,-38.98%,-47.97%,-55.28%,-81.58%,-35.71%,-59.12%,-68.00%,-77.14%,-76.12%,-54.02%,-48.39%,-74.19%,-79.06%,-83.54%,-70.00%,-79.75%,-100.00%,-75.51%,-64.29%,-61.90%,-71.43%,-64.96%,-92.83%,-77.98%,-84.47%,-54.29%,-14.89%,
9 out of 11,8 out of 11,7 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,8 out of 11,8 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,8 out of 11,7 out of 11,7 out of 11,9 out of 11,7 out of 11,7 out of 11,9 out of 11,9 out of 11,7 out of 11,8 out of 11,8 out of 11,5 out of 11,6 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,8 out of 11,8 out of 11,7 out of 11,8 out of 11,9 out of 11,8 out of 11,6 out of 11,8 out of 11,7 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,7 out of 11,9 out of 11,6 out of 11,7 out of 11,7 out of 11,8 out of 11,5 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,7 out of 11,5 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,7 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,7 out of 11,4 out of 11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1572.80,376.59,1718.51,2036.16,2429.54,1209.06,896.43,800.20,425.62,398.06,398.06,843.33,1290.47,3410.70,3647.82,2363.30,1122.46,1907.03,3219.14,3328.04,3364.56,1514.37,417.72,735.50,800.22,1420.40,2831.65,740.34,2314.88,443.04,2492.70,2962.65,2372.47,1511.96,1827.16,708.02,708.02,1427.47,1814.60,3451.50,1580.37,831.46,0.00,383.06,0.00,728.38,1017.81,1813.66,2309.35,1523.45,2587.64,2982.94,5005.40,3317.46,3633.24,4077.53,3881.88,3849.42,3756.75,4240.54,4540.33,1188.13,2603.67,1453.36,1596.71,2617.47,3068.10,3391.87,3929.80,3005.97,1914.63,3155.90,2934.41,3017.63,3010.41,2328.49,1380.33,1995.91,1265.09,2991.54,2822.33,3328.52,1050.90,3805.63,2940.51,2738.17,1565.05,727.40,1847.72,3085.01,1841.29,1974.88,2224.36,1488.30,2592.11,0.00,1075.30,1804.47,2482.25,1626.95,2356.75,865.34,2312.41,865.16,1576.15,3932.17,
14062.28,4760.64,6154.63,9197.00,11739.92,13364.40,13142.04,4409.03,4134.21,4579.09,5804.86,5611.04,9329.40,19656.61,21155.22,6870.11,6513.67,8436.58,8768.89,10693.60,15440.07,18264.38,3893.48,11813.35,5545.48,5631.77,6890.62,7914.95,8734.01,4272.94,11971.82,14738.85,5305.94,5185.03,5639.83,5946.37,4487.00,8006.07,14089.70,13969.35,10951.31,6249.53,3908.16,4207.04,7049.21,8106.92,3377.33,6002.04,8175.45,5931.73,7281.83,8845.33,22486.14,27035.72,11407.22,13957.22,12787.20,9910.93,10590.05,20150.12,23023.91,6937.98,9728.81,7042.43,7131.91,8307.45,10753.27,18876.01,17126.14,9710.61,6246.75,7229.86,7838.54,9548.89,9524.05,10683.00,10614.58,4337.46,5753.70,8061.02,8428.02,11802.97,4348.70,7793.61,8704.44,9897.48,7603.33,3597.25,6040.29,8854.70,10925.21,13215.82,14238.10,3957.54,13284.81,4725.76,6375.42,9181.40,10185.95,5629.55,7627.96,11949.86,11376.56,4817.23,4038.08,6044.33,
-88.82%,-92.09%,-72.08%,-77.86%,-79.31%,-90.95%,-93.18%,-81.85%,-89.70%,-91.31%,-93.14%,-84.97%,-86.17%,-82.65%,-82.76%,-65.60%,-82.77%,-77.40%,-63.29%,-68.88%,-78.21%,-91.71%,-89.27%,-93.77%,-85.57%,-74.78%,-58.91%,-90.65%,-73.50%,-89.63%,-79.18%,-79.90%,-55.29%,-70.84%,-67.60%,-88.09%,-84.22%,-82.17%,-87.12%,-75.29%,-85.57%,-86.70%,-100.00%,-90.89%,-100.00%,-91.02%,-69.86%,-69.78%,-71.75%,-74.32%,-64.46%,-66.28%,-77.74%,-87.73%,-68.15%,-70.79%,-69.64%,-61.16%,-64.53%,-78.96%,-80.28%,-82.87%,-73.24%,-79.36%,-77.61%,-68.49%,-71.47%,-82.03%,-77.05%,-69.04%,-69.35%,-56.35%,-62.56%,-68.40%,-68.39%,-78.20%,-87.00%,-53.98%,-78.01%,-62.89%,-66.51%,-71.80%,-75.83%,-51.17%,-66.22%,-72.33%,-79.42%,-79.78%,-69.41%,-65.16%,-83.15%,-85.06%,-84.38%,-62.39%,-80.49%,-100.00%,-83.13%,-80.35%,-75.63%,-71.10%,-69.10%,-92.76%,-79.67%,-82.04%,-60.97%,-34.94%,
9 out of 11,8 out of 11,7 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,7 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,7 out of 11,9 out of 11,8 out of 11,9 out of 11,8 out of 11,8 out of 11,6 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,7 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,8 out of 11,7 out of 11,7 out of 11,9 out of 11,7 out of 11,7 out of 11,8 out of 11,9 out of 11,6 out of 11,8 out of 11,8 out of 11,7 out of 11,7 out of 11,7 out of 11,8 out of 11,8 out of 11,9 out of 11,8 out of 11,8 out of 11,9 out of 11,8 out of 11,8 out of 11,7 out of 11,7 out of 11,9 out of 11,7 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,7 out of 11,9 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,6 out of 11,7 out of 11,9 out of 11,9 out of 11,8 out of 11,7 out of 11,7 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,7 out of 11,8 out of 11,8 out of 11,7 out of 11,9 out of 11,9 out of 11,9 out of 11,7 out of 11,7 out of 11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
