Nov 1  2022,Nov 2  2022,Nov 3  2022,Nov 4  2022,Nov 5  2022,Oct 10  2022,Oct 11  2022,Oct 12  2022,Oct 13  2022,Oct 14  2022,Oct 15  2022,Oct 16  2022,Oct 17  2022,Oct 18  2022,Oct 19  2022,Oct 20  2022,Oct 21  2022,Oct 22  2022,Oct 23  2022,Oct 24  2022,Oct 25  2022,Oct 26  2022,Oct 27  2022,Oct 28  2022,Oct 29  2022,Oct 3  2022,Oct 30  2022,Oct 31  2022,Oct 4  2022,Oct 5  2022,Oct 6  2022,Oct 7  2022,Oct 8  2022,Oct 9  2022,Unnamed: 8
0,0,3,3,3,1,1,1,2,7,8,2,3,3,5,5,9,7,2,3,6,7,7,8,7,5,1,3,2,5,6,11,12,3,
19,18,21,30,39,13,15,16,19,23,26,12,9,9,12,14,27,30,12,9,8,8,15,24,22,7,9,12,12,10,15,28,34,18,
-100.00%,-100.00%,-85.63%,-89.83%,-92.33%,-92.52%,-93.44%,-93.65%,-89.19%,-69.23%,-68.63%,-83.84%,-67.57%,-67.57%,-57.89%,-65.22%,-67.12%,-76.57%,-82.98%,-68.00%,-22.58%,-15.15%,-54.47%,-66.32%,-68.54%,-31.03%,-89.19%,-74.19%,-82.72%,-50.62%,-60.33%,-60.89%,-64.71%,-83.10%,
9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,7 out of 11,5 out of 11,6 out of 11,8 out of 11,8 out of 11,9 out of 11,6 out of 11,9 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,9 out of 11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00,0.00,1232.07,1174.56,1261.77,351.10,371.75,296.78,612.77,2270.35,2693.66,740.56,1089.72,987.73,1797.78,1926.54,3306.95,2837.61,764.16,1072.58,2222.39,2628.48,2488.52,3196.40,1836.20,1712.28,329.76,1056.55,668.53,1689.92,2005.91,3873.96,4344.31,1059.94,
7400.18,6925.13,8561.33,13435.84,18508.86,5010.36,5887.57,6491.56,7804.45,10663.67,12473.51,5055.29,3883.44,4630.70,6373.23,6604.52,12282.11,13631.25,4426.28,3380.80,3111.66,3809.10,7886.75,11205.52,9296.52,2890.49,3483.93,4452.97,5001.78,4475.92,6674.23,11421.39,13898.26,6505.66,
-100.00%,-100.00%,-85.61%,-91.26%,-93.18%,-92.99%,-93.69%,-95.43%,-92.15%,-78.71%,-78.40%,-85.35%,-71.94%,-78.67%,-71.79%,-70.83%,-73.08%,-79.18%,-82.74%,-68.27%,-28.58%,-30.99%,-68.45%,-71.47%,-80.25%,-40.76%,-90.53%,-76.27%,-86.63%,-62.24%,-69.95%,-66.08%,-68.74%,-83.71%,
9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,9 out of 11,6 out of 11,9 out of 11,8 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00,0.00,410.69,391.52,420.59,351.10,371.75,296.78,306.39,324.34,336.71,370.28,363.24,329.24,359.56,385.31,367.44,405.37,382.08,357.53,370.40,375.50,355.50,399.55,262.31,342.46,329.76,352.18,334.27,337.98,334.32,352.18,362.03,353.31,
389.48,382.08,410.12,455.45,473.07,374.61,386.07,412.16,421.86,468.73,489.16,408.51,419.83,500.62,536.69,459.44,448.66,456.28,376.70,360.62,401.50,461.71,512.96,471.81,417.82,398.69,376.64,383.05,432.25,442.07,441.27,406.09,408.77,366.52,
-100.00%,-100.00%,+0.14%,-14.04%,-11.09%,-6.27%,-3.71%,-27.99%,-27.37%,-30.81%,-31.17%,-9.36%,-13.48%,-34.23%,-33.01%,-16.14%,-18.10%,-11.16%,+1.43%,-0.86%,-7.75%,-18.67%,-30.70%,-15.32%,-37.22%,-14.10%,-12.45%,-8.06%,-22.67%,-23.54%,-24.24%,-13.28%,-11.44%,-3.60%,
9 out of 11,9 out of 11,5 out of 11,7 out of 11,7 out of 11,6 out of 11,6 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,6 out of 11,7 out of 11,7 out of 11,5 out of 11,6 out of 11,7 out of 11,6 out of 11,7 out of 11,5 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,6 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
