Oct 1  2022,Oct 2  2022,Oct 3  2022,Oct 4  2022,Oct 5  2022,Oct 6  2022,Oct 7  2022,Oct 8  2022,Sep 10  2022,Sep 11  2022,Sep 12  2022,Sep 13  2022,Sep 14  2022,Sep 15  2022,Sep 16  2022,Sep 17  2022,Sep 18  2022,Sep 19  2022,Sep 20  2022,Sep 21  2022,Sep 22  2022,Sep 23  2022,Sep 24  2022,Sep 25  2022,Sep 26  2022,Sep 27  2022,Sep 28  2022,Sep 29  2022,Sep 3  2022,Sep 30  2022,Sep 4  2022,Sep 5  2022,Sep 6  2022,Sep 7  2022,Sep 8  2022,Sep 9  2022,Unnamed: 8
8,6,5,2,5,6,11,12,5,2,4,6,6,8,6,7,5,3,7,4,6,10,9,1,0,6,8,5,7,7,6,4,3,6,6,6,
16,6,7,12,10,15,28,34,26,12,10,14,17,22,31,29,13,11,13,14,16,29,34,11,9,14,15,14,31,17,19,18,22,18,20,27,
-50.39%,+0.00%,-31.03%,-82.72%,-50.62%,-60.33%,-60.89%,-64.71%,-80.49%,-83.16%,-60.00%,-55.56%,-64.18%,-63.64%,-80.33%,-75.55%,-62.26%,-73.33%,-45.63%,-70.64%,-62.50%,-65.37%,-73.72%,-91.11%,-100.00%,-55.96%,-44.83%,-65.22%,-77.05%,-57.58%,-69.03%,-77.62%,-86.13%,-66.43%,-70.19%,-77.46%,
7 out of 11,3 out of 11,6 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,7 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,7 out of 11,7 out of 11,7 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
2876.81,2093.26,1712.28,668.53,1689.92,2005.91,3873.96,4344.31,1146.80,448.21,1675.88,2282.71,2133.44,2914.56,2139.05,2471.06,1524.84,1127.13,2707.01,1551.27,2214.48,3250.66,2934.67,296.78,0.00,2083.85,2848.01,1787.25,2673.82,2378.79,1550.93,1550.93,788.71,2048.39,2293.75,2230.12,
6626.22,2344.03,2890.49,5001.78,4475.92,6674.23,11421.39,13898.26,10816.76,4586.02,4291.59,6265.84,8068.23,10415.56,12946.62,12082.23,4892.24,4529.56,5702.56,6282.76,7814.35,13227.20,15472.78,4270.02,3681.73,5709.92,6109.14,6121.37,12979.21,6834.61,7465.90,7087.17,9183.43,7390.02,8159.83,10719.02,
-56.58%,-10.70%,-40.76%,-86.63%,-62.24%,-69.95%,-66.08%,-68.74%,-89.40%,-90.23%,-60.95%,-63.57%,-73.56%,-72.02%,-83.48%,-79.55%,-68.83%,-75.12%,-52.53%,-75.31%,-71.66%,-75.42%,-81.03%,-93.05%,-100.00%,-63.50%,-53.38%,-70.80%,-79.40%,-65.19%,-79.23%,-78.12%,-91.41%,-72.28%,-71.89%,-79.19%,
8 out of 11,4 out of 11,6 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,8 out of 11,7 out of 11,8 out of 11,7 out of 11,7 out of 11,8 out of 11,9 out of 11,9 out of 11,6 out of 11,7 out of 11,7 out of 11,9 out of 11,7 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
359.60,348.88,342.46,334.27,337.98,334.32,352.18,362.03,229.36,224.11,418.97,380.45,355.57,364.32,356.51,353.01,304.97,375.71,386.72,387.82,369.08,325.07,326.07,296.78,0.00,347.31,356.00,357.45,381.97,339.83,258.49,387.73,262.90,341.40,382.29,371.69,
410.93,390.67,398.69,432.25,442.07,441.27,406.09,408.77,422.12,386.19,429.16,464.14,481.69,473.43,424.48,422.09,369.23,402.63,442.92,461.12,488.40,458.08,451.76,379.56,409.08,419.08,421.32,425.83,425.55,414.22,385.34,396.48,424.67,413.43,405.46,402.59,
-12.49%,-10.70%,-14.10%,-22.67%,-23.54%,-24.24%,-13.28%,-11.44%,-45.66%,-41.97%,-2.37%,-18.03%,-26.18%,-23.05%,-16.01%,-16.37%,-17.40%,-6.69%,-12.69%,-15.90%,-24.43%,-29.04%,-27.82%,-21.81%,-100.00%,-17.13%,-15.50%,-16.06%,-10.24%,-17.96%,-32.92%,-2.21%,-38.09%,-17.42%,-5.71%,-7.68%,
6 out of 11,4 out of 11,7 out of 11,6 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,8 out of 11,8 out of 11,5 out of 11,6 out of 11,7 out of 11,7 out of 11,6 out of 11,7 out of 11,7 out of 11,6 out of 11,6 out of 11,6 out of 11,6 out of 11,7 out of 11,7 out of 11,7 out of 11,9 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,7 out of 11,8 out of 11,4 out of 11,9 out of 11,7 out of 11,5 out of 11,6 out of 11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
