Aug 1  2023,Aug 10  2023,Aug 11  2023,Aug 12  2023,Aug 13  2023,Aug 14  2023,Aug 15  2023,Aug 16  2023,Aug 17  2023,Aug 18  2023,Aug 19  2023,Aug 2  2023,Aug 20  2023,Aug 21  2023,Aug 22  2023,Aug 23  2023,Aug 24  2023,Aug 25  2023,Aug 26  2023,Aug 27  2023,Aug 28  2023,Aug 29  2023,Aug 3  2023,Aug 30  2023,Aug 31  2023,Aug 4  2023,Aug 5  2023,Aug 6  2023,Aug 7  2023,Aug 8  2023,Aug 9  2023,Jul 1  2023,Jul 10  2023,Jul 11  2023,Jul 12  2023,Jul 13  2023,Jul 14  2023,Jul 15  2023,Jul 16  2023,Jul 17  2023,Jul 18  2023,Jul 19  2023,Jul 2  2023,Jul 20  2023,Jul 21  2023,Jul 22  2023,Jul 23  2023,Jul 24  2023,Jul 25  2023,Jul 26  2023,Jul 27  2023,Jul 28  2023,Jul 29  2023,Jul 3  2023,Jul 30  2023,Jul 31  2023,Jul 4  2023,Jul 5  2023,Jul 6  2023,Jul 7  2023,Jul 8  2023,Jul 9  2023,Jun 1  2023,Jun 10  2023,Jun 11  2023,Jun 12  2023,Jun 13  2023,Jun 14  2023,Jun 15  2023,Jun 16  2023,Jun 17  2023,Jun 18  2023,Jun 19  2023,Jun 2  2023,Jun 20  2023,Jun 21  2023,Jun 22  2023,Jun 23  2023,Jun 24  2023,Jun 25  2023,Jun 26  2023,Jun 27  2023,Jun 28  2023,Jun 29  2023,Jun 3  2023,Jun 30  2023,Jun 4  2023,Jun 5  2023,Jun 6  2023,Jun 7  2023,Jun 8  2023,Jun 9  2023,May 19  2023,May 20  2023,May 21  2023,May 22  2023,May 23  2023,May 24  2023,May 25  2023,May 26  2023,May 27  2023,May 28  2023,May 29  2023,May 30  2023,May 31  2023,Sep 1  2023,Unnamed: 8
0,1,4,2,0,2,3,8,6,5,1,4,2,0,3,4,2,2,5,1,3,3,6,3,7,4,3,0,0,3,6,10,0,4,1,3,4,2,2,1,2,5,1,6,3,6,5,2,7,7,4,5,8,1,1,0,2,3,5,3,6,1,6,8,2,3,10,8,7,9,5,1,3,4,3,6,7,1,5,2,5,5,6,6,6,9,2,1,2,3,6,9,5,6,0,3,5,6,5,7,8,5,5,4,6,5,
10,16,19,19,11,9,12,16,19,26,24,12,13,12,13,13,15,25,28,10,7,9,15,9,15,23,28,13,13,14,11,25,13,10,11,15,20,25,14,14,16,15,12,18,24,23,13,13,16,18,22,28,32,11,12,11,14,14,16,27,29,15,16,34,18,14,14,14,19,30,36,15,11,24,10,11,16,26,26,11,9,12,14,15,27,19,15,14,12,16,24,34,30,30,13,12,14,16,21,31,38,15,11,12,13,22,
-100.00%,-93.70%,-78.38%,-89.19%,-100.00%,-76.81%,-74.47%,-49.61%,-67.79%,-80.68%,-95.81%,-65.96%,-84.16%,-100.00%,-76.92%,-69.52%,-86.55%,-92.08%,-81.90%,-89.74%,-56.36%,-64.71%,-58.97%,-68.00%,-52.54%,-82.70%,-89.38%,-100.00%,-100.00%,-79.13%,-46.07%,-59.60%,-100.00%,-60.00%,-91.11%,-80.00%,-80.37%,-92.04%,-85.59%,-92.59%,-87.10%,-66.10%,-91.84%,-67.12%,-87.37%,-74.05%,-61.90%,-84.47%,-56.25%,-61.90%,-82.02%,-82.38%,-75.10%,-91.21%,-91.75%,-100.00%,-85.19%,-78.18%,-69.23%,-89.04%,-79.13%,-93.10%,-63.36%,-76.47%,-88.97%,-78.38%,-29.20%,-42.86%,-63.16%,-70.12%,-86.11%,-93.33%,-73.63%,-83.42%,-69.23%,-45.45%,-55.91%,-96.10%,-80.77%,-81.40%,-43.66%,-58.76%,-58.26%,-60.33%,-77.67%,-52.94%,-86.21%,-93.00%,-83.84%,-81.10%,-75.26%,-73.72%,-83.54%,-79.75%,-100.00%,-75.51%,-64.29%,-61.90%,-76.33%,-77.14%,-78.88%,-66.94%,-54.02%,-67.68%,-54.29%,-77.65%,
9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,7 out of 11,9 out of 11,9 out of 11,9 out of 11,7 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,7 out of 11,7 out of 11,7 out of 11,8 out of 11,6 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,6 out of 11,9 out of 11,8 out of 11,7 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,7 out of 11,9 out of 11,7 out of 11,8 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,5 out of 11,6 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,8 out of 11,7 out of 11,7 out of 11,9 out of 11,8 out of 11,8 out of 11,6 out of 11,7 out of 11,8 out of 11,9 out of 11,8 out of 11,8 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,7 out of 11,8 out of 11,9 out of 11,9 out of 11,7 out of 11,7 out of 11,8 out of 11,8 out of 11,9 out of 11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
0.00,425.39,1742.06,818.82,0.00,746.55,1267.94,3527.42,2810.67,2360.04,462.44,1671.95,863.19,0.00,1256.77,1591.46,815.41,888.36,2098.57,380.18,1264.66,1210.42,2689.83,1186.07,3328.29,1721.75,1289.10,0.00,0.00,1410.25,2660.27,4060.48,0.00,1696.67,412.97,1302.75,1719.70,870.10,751.58,362.20,842.92,2084.93,414.16,2487.37,1126.84,2455.18,2092.98,809.36,2832.78,2996.85,1618.09,1980.29,3417.68,362.20,480.72,0.00,842.92,1205.12,2068.14,1265.46,2449.69,389.38,2121.38,2816.41,649.94,1072.03,4015.11,3132.33,2601.97,3594.44,1928.92,408.61,1198.84,1565.37,1185.57,2267.67,2717.75,330.98,1905.79,698.71,1971.75,1957.48,2353.28,2426.85,2143.37,3593.27,739.59,330.98,739.59,1019.09,2031.23,3261.17,2224.36,2592.11,0.00,1075.30,1804.47,2482.25,2039.53,2877.33,3320.24,2159.35,2065.25,1500.05,2245.13,2278.37,
4636.76,7756.81,7694.09,7336.91,4134.33,3993.49,5970.33,8298.68,10065.74,13461.03,11177.63,5612.65,4865.42,5070.40,6247.78,6637.83,7734.52,11082.06,12041.78,3733.98,3462.12,4539.49,6731.71,4846.08,7478.03,9965.25,12474.99,5592.51,6529.32,8382.25,5960.78,10625.66,5708.27,4774.44,5147.44,7239.87,9026.35,11123.32,5573.36,5809.68,7658.82,7429.07,4804.72,8844.57,11349.92,10861.71,5531.34,5702.68,7799.50,9583.44,11262.67,13235.04,14106.05,5002.37,4906.28,4409.27,6401.75,6674.10,7858.14,12836.08,13103.62,6086.74,8048.11,15998.92,7761.18,6761.87,7666.06,8569.29,10638.63,14510.01,17034.88,6150.61,5109.91,11056.71,5006.68,5870.27,8146.43,12256.90,11085.31,4125.96,4755.31,7682.30,9390.63,8377.47,11732.34,9341.48,5832.89,5878.47,5171.11,6581.40,10941.57,16149.12,14238.10,13284.81,4725.76,6375.42,9181.40,10185.95,13708.12,16387.93,16725.47,6588.84,5032.42,5974.61,6409.45,11179.21,
-100.00%,-94.52%,-77.36%,-88.84%,-100.00%,-81.31%,-78.76%,-57.49%,-72.08%,-82.47%,-95.86%,-70.21%,-82.26%,-100.00%,-79.88%,-76.02%,-89.46%,-91.98%,-82.57%,-89.82%,-63.47%,-73.34%,-60.04%,-75.53%,-55.49%,-82.72%,-89.67%,-100.00%,-100.00%,-83.18%,-55.37%,-61.79%,-100.00%,-64.46%,-91.98%,-82.01%,-80.95%,-92.18%,-86.51%,-93.77%,-88.99%,-71.94%,-91.38%,-71.88%,-90.07%,-77.40%,-62.16%,-85.81%,-63.68%,-68.73%,-85.63%,-85.04%,-75.77%,-92.76%,-90.20%,-100.00%,-86.83%,-81.94%,-73.68%,-90.14%,-81.31%,-93.60%,-73.64%,-82.40%,-91.63%,-84.15%,-47.62%,-63.45%,-75.54%,-75.23%,-88.68%,-93.36%,-76.54%,-85.84%,-76.32%,-61.37%,-66.64%,-97.30%,-82.81%,-83.07%,-58.54%,-74.52%,-74.94%,-71.03%,-81.73%,-61.53%,-87.32%,-94.37%,-85.70%,-84.52%,-81.44%,-79.81%,-84.38%,-80.49%,-100.00%,-83.13%,-80.35%,-75.63%,-85.12%,-82.44%,-80.15%,-67.23%,-58.96%,-74.89%,-64.97%,-79.62%,
9 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,7 out of 11,8 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,6 out of 11,8 out of 11,8 out of 11,8 out of 11,6 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,6 out of 11,8 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,6 out of 11,9 out of 11,8 out of 11,9 out of 11,8 out of 11,7 out of 11,8 out of 11,7 out of 11,7 out of 11,8 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,9 out of 11,8 out of 11,9 out of 11,8 out of 11,9 out of 11,8 out of 11,8 out of 11,9 out of 11,8 out of 11,6 out of 11,6 out of 11,7 out of 11,7 out of 11,7 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,7 out of 11,7 out of 11,9 out of 11,8 out of 11,8 out of 11,7 out of 11,7 out of 11,8 out of 11,9 out of 11,8 out of 11,8 out of 11,9 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,9 out of 11,9 out of 11,7 out of 11,8 out of 11,8 out of 11,8 out of 11,8 out of 11,7 out of 11,7 out of 11,8 out of 11,7 out of 11,8 out of 11,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
