name,price,chk_out
Apê Paulista Alameda Santos,R$ 303,"qua., 13 de set."
Hotel Brigadeiro,R$ 275,"qua., 13 de set."
NEXT AW Franca ao lado da Paulista,R$ 415,"qua., 13 de set."
Charlie Pamplona - Soft Opening,R$ 473,"qua., 13 de set."
Hampton Park São Paulo Jardins,R$ 473,"qua., 13 de set."
GoodStay São Paulo Ibirapuera,R$ 442,"qua., 13 de set."
The Landmark Residence - Oficial,R$ 533,"qua., 13 de set."
Wyndhan Al. Campinas,R$ 360,"qua., 13 de set."
H4 La Residence Paulista,R$ 588,"qua., 13 de set."
Charlie Jardins Alameda Franca,R$ 493,"qua., 13 de set."
Apê Paulista Augusta,R$ 283,"qua., 13 de set."
Hotel Trianon Paulista,R$ 577,"qua., 13 de set."
ibis budget Sao Paulo Jardins,R$ 408,"qua., 13 de set."
Canopy By Hilton Sao Paulo Jardins,R$ 1.153,"qua., 13 de set."
Transamerica Executive Jardins,R$ 784,"qua., 13 de set."
Pestana São Paulo,R$ 744,"qua., 13 de set."
Next Paulista a passos da Paulista,R$ 421,"qua., 13 de set."
Flat Alameda Lorena - Prédio Ninety - Jardim Paulista,R$ 420,"qua., 13 de set."
Transamerica Executive Bela Cintra (Paulista),R$ 673,"qua., 13 de set."
FLAT Ibirapuera Jardins ótima localização com garagem inclusa!,R$ 288,"qua., 13 de set."
Elite Oscar Freire - Vivare,R$ 462,"qua., 13 de set."
Transamerica Prime International Plaza (Paulista),R$ 693,"qua., 13 de set."
Travel Inn Park Avenue Jardins,R$ 538,"qua., 13 de set."
London Class Hotéis,R$ 445,"qua., 13 de set."
Radisson Oscar Freire,R$ 1.129,"qua., 13 de set."
Apê Paulista Alameda Santos,R$ 303,"qua., 13 de set."
Hotel Brigadeiro,R$ 275,"qua., 13 de set."
NEXT AW Franca ao lado da Paulista,R$ 415,"qua., 13 de set."
Charlie Pamplona - Soft Opening,R$ 473,"qua., 13 de set."
Hampton Park São Paulo Jardins,R$ 473,"qua., 13 de set."
GoodStay São Paulo Ibirapuera,R$ 442,"qua., 13 de set."
The Landmark Residence - Oficial,R$ 533,"qua., 13 de set."
Wyndhan Al. Campinas,R$ 360,"qua., 13 de set."
H4 La Residence Paulista,R$ 588,"qua., 13 de set."
Charlie Jardins Alameda Franca,R$ 493,"qua., 13 de set."
Apê Paulista Augusta,R$ 283,"qua., 13 de set."
Hotel Trianon Paulista,R$ 577,"qua., 13 de set."
ibis budget Sao Paulo Jardins,R$ 408,"qua., 13 de set."
Canopy By Hilton Sao Paulo Jardins,R$ 1.153,"qua., 13 de set."
Transamerica Executive Jardins,R$ 784,"qua., 13 de set."
Pestana São Paulo,R$ 744,"qua., 13 de set."
Next Paulista a passos da Paulista,R$ 421,"qua., 13 de set."
Flat Alameda Lorena - Prédio Ninety - Jardim Paulista,R$ 420,"qua., 13 de set."
Transamerica Executive Bela Cintra (Paulista),R$ 673,"qua., 13 de set."
FLAT Ibirapuera Jardins ótima localização com garagem inclusa!,R$ 288,"qua., 13 de set."
Elite Oscar Freire - Vivare,R$ 462,"qua., 13 de set."
Transamerica Prime International Plaza (Paulista),R$ 693,"qua., 13 de set."
Travel Inn Park Avenue Jardins,R$ 538,"qua., 13 de set."
London Class Hotéis,R$ 445,"qua., 13 de set."
Radisson Oscar Freire,R$ 1.129,"qua., 13 de set."
Apê Paulista Alameda Santos,R$ 303,"qua., 13 de set."
Hotel Brigadeiro,R$ 275,"qua., 13 de set."
NEXT AW Franca ao lado da Paulista,R$ 415,"qua., 13 de set."
Charlie Pamplona - Soft Opening,R$ 473,"qua., 13 de set."
Hampton Park São Paulo Jardins,R$ 473,"qua., 13 de set."
GoodStay São Paulo Ibirapuera,R$ 442,"qua., 13 de set."
The Landmark Residence - Oficial,R$ 533,"qua., 13 de set."
Wyndhan Al. Campinas,R$ 360,"qua., 13 de set."
H4 La Residence Paulista,R$ 588,"qua., 13 de set."
Charlie Jardins Alameda Franca,R$ 493,"qua., 13 de set."
Apê Paulista Augusta,R$ 283,"qua., 13 de set."
Hotel Trianon Paulista,R$ 577,"qua., 13 de set."
ibis budget Sao Paulo Jardins,R$ 408,"qua., 13 de set."
Canopy By Hilton Sao Paulo Jardins,R$ 1.153,"qua., 13 de set."
Transamerica Executive Jardins,R$ 784,"qua., 13 de set."
Pestana São Paulo,R$ 744,"qua., 13 de set."
Next Paulista a passos da Paulista,R$ 421,"qua., 13 de set."
Flat Alameda Lorena - Prédio Ninety - Jardim Paulista,R$ 420,"qua., 13 de set."
Transamerica Executive Bela Cintra (Paulista),R$ 673,"qua., 13 de set."
FLAT Ibirapuera Jardins ótima localização com garagem inclusa!,R$ 288,"qua., 13 de set."
Elite Oscar Freire - Vivare,R$ 462,"qua., 13 de set."
