name,price,chk_out
Share em Perdizes com ótima área comum,R$ 362,"qua., 13 de set."
Belíssimo Stúdio,R$ 300,"qua., 13 de set."
Hospedaria Santo André,R$ 288,"qua., 13 de set."
FLAT PERDIZES - Executivo,R$ 459,"qua., 13 de set."
Housi Perdizes By Charlie,R$ 360,"qua., 13 de set."
Apartamento Palmeiras,R$ 411,"qua., 13 de set."
Studio Perdizes Allianz,R$ 350,"qua., 13 de set."
Prédio NOVO em frente ao Majestoso Allianz Parque,R$ 375,"qua., 13 de set."
Noon Vila Madalena,R$ 544,"qua., 13 de set."
Vossa Bossa Allianz,R$ 355,"qua., 13 de set."
Mondo Verde Hostel,R$ 117,"qua., 13 de set."
Estúdio a 400 metros do Allianz Parque,R$ 448,"qua., 13 de set."
Studios Novíssimos com Piscina no Rooftop e vista para o Allianz Parque,R$ 329,"qua., 13 de set."
360 Suítes Perdizes - Apartamentos mobiliados,R$ 336,"qua., 13 de set."
Hotel Pousada Pacaembu,R$ 525,"qua., 13 de set."
Luxury in Perdizes-Allianz,R$ 899,"qua., 13 de set."
"Allianz Parque , Perdizes",R$ 501,"qua., 13 de set."
"Allianz Park, Perdizes",R$ 440,"qua., 13 de set."
Studio moderno a 5min a pé do Allianz Parque,R$ 285,"qua., 13 de set."
Apartamento novo e luxuoso ao lado do Allianz,R$ 429,"qua., 13 de set."
Apto Moderno em Perdizes.,R$ 501,"qua., 13 de set."
VS12 Apartamento P4 Pessoas Lindo e Moderno em Perdizes Prox Allianz Com Vaga Garagem,R$ 483,"qua., 13 de set."
Allianz Parque Studio em São Paulo,R$ 621,"qua., 13 de set."
Studio Allianz Perdizes,R$ 380,"qua., 13 de set."
Casa SP011,R$ 195,"qua., 13 de set."
Casa SP011,R$ 195,"qua., 13 de set."
"Vila Rock Hostel - próximo Allianz Parque, Vila Madalena, Av Paulista, Hospital das Clínicas INCOR FMUSP",R$ 150,"qua., 13 de set."
Mimos Hospedagem,R$ 276,"qua., 13 de set."
STUDIO - VN Apiacas próximo ao Allianz Parque á 750 metros - Perdizes,R$ 395,"qua., 13 de set."
Studio Moderno na Vila Madalena,R$ 390,"qua., 13 de set."
Casa Sobrado em Perdizes,R$ 1.350,"qua., 13 de set."
Vossa Bossa Perdizes Alfonso Bovero,R$ 405,"qua., 13 de set."
ACBH - Adega Café Brasil Hospedagem,R$ 300,"qua., 13 de set."
Vossa Bossa VN Turiassu,R$ 405,"qua., 13 de set."
Casa Sumaré,R$ 1.716,"qua., 13 de set."
Villa Hostel próximo ao Allianz Parque,R$ 175,"qua., 13 de set."
Hotel Pousada Perdizes,R$ 250,"qua., 13 de set."
Vila do Chaves bed breakfast,R$ 154,"qua., 13 de set."
