name,price,chk_out
Charlie Alves Guimarães Pinheiros - Soft opening,R$ 485,"qua., 13 de set."
Uniclass Hotel Pinheiros,R$ 417,"qua., 13 de set."
Charlie Faria Lima,R$ 517,"qua., 13 de set."
Studio Quality Oscar Freire,R$ 307,"qua., 13 de set."
Charlie Rua dos Pinheiros,R$ 435,"qua., 13 de set."
Ô de Casa Hostel,R$ 209,"qua., 13 de set."
Radisson Pinheiros,R$ 1.307,"qua., 13 de set."
Q-Flats Hotel - Faria Lima,R$ 419,"qua., 13 de set."
Guest Urban Hotel Design Pinheiros,R$ 437,"qua., 13 de set."
Casa Savana,R$ 360,"qua., 13 de set."
Filadelfia Hotel,R$ 218,"qua., 13 de set."
HomeLike ao lado da Av Faria Lima,R$ 421,"qua., 13 de set."
Studio Ben,R$ 269,"qua., 13 de set."
Hostel e Pousada Vila Madalena,R$ 199,"qua., 13 de set."
Golden Tower Pinheiros by Fênix Hotéis,R$ 919,"qua., 13 de set."
Moderno e sofisticado,R$ 640,"qua., 13 de set."
Cawy Pinheiros - São Paulo,R$ 334,"qua., 13 de set."
Elite Oscar Freire - Vivare,R$ 462,"qua., 13 de set."
Flat Capote Valente 500 Pinheiros,R$ 349,"qua., 13 de set."
Pousada e Hostel São Paulo Comfort,R$ 260,"qua., 13 de set."
Studio Living Mercure Pinheiros,R$ 402,"qua., 13 de set."
Apartamentos Vila Madalena,R$ 433,"qua., 13 de set."
Hostel Brasil Boutique,R$ 180,"qua., 13 de set."
Selina Madalena Sao Paulo,R$ 205,"qua., 13 de set."
"Comfort Flat Pinheiros em Hotel 4,5 estrelas",R$ 536,"qua., 13 de set."
Charlie Alves Guimarães Pinheiros - Soft opening,R$ 485,"qua., 13 de set."
Uniclass Hotel Pinheiros,R$ 417,"qua., 13 de set."
Charlie Faria Lima,R$ 517,"qua., 13 de set."
Studio Quality Oscar Freire,R$ 307,"qua., 13 de set."
Charlie Rua dos Pinheiros,R$ 435,"qua., 13 de set."
Ô de Casa Hostel,R$ 209,"qua., 13 de set."
Radisson Pinheiros,R$ 1.307,"qua., 13 de set."
Q-Flats Hotel - Faria Lima,R$ 419,"qua., 13 de set."
Guest Urban Hotel Design Pinheiros,R$ 437,"qua., 13 de set."
Casa Savana,R$ 360,"qua., 13 de set."
Filadelfia Hotel,R$ 218,"qua., 13 de set."
HomeLike ao lado da Av Faria Lima,R$ 421,"qua., 13 de set."
Studio Ben,R$ 269,"qua., 13 de set."
Hostel e Pousada Vila Madalena,R$ 199,"qua., 13 de set."
Golden Tower Pinheiros by Fênix Hotéis,R$ 919,"qua., 13 de set."
Moderno e sofisticado,R$ 640,"qua., 13 de set."
Cawy Pinheiros - São Paulo,R$ 334,"qua., 13 de set."
Elite Oscar Freire - Vivare,R$ 462,"qua., 13 de set."
Flat Capote Valente 500 Pinheiros,R$ 349,"qua., 13 de set."
Pousada e Hostel São Paulo Comfort,R$ 260,"qua., 13 de set."
Studio Living Mercure Pinheiros,R$ 402,"qua., 13 de set."
Apartamentos Vila Madalena,R$ 433,"qua., 13 de set."
Hostel Brasil Boutique,R$ 180,"qua., 13 de set."
Selina Madalena Sao Paulo,R$ 205,"qua., 13 de set."
"Comfort Flat Pinheiros em Hotel 4,5 estrelas",R$ 536,"qua., 13 de set."
Charlie Oscar Freire,R$ 505,"qua., 13 de set."
Apartamento espaçoso em Pinheiros ao lado do metrô,R$ 627,"qua., 13 de set."
Xtay São Paulo Oscar Freire,R$ 493,"qua., 13 de set."
Quality Suítes Oscar Freire - Ex Comfort Suítes,R$ 977,"qua., 13 de set."
Happy Sweet Home 3,R$ 343,"qua., 13 de set."
Cawy Cardeal Arcoverde - Prox ao metrô Faria Lima,R$ 617,"qua., 13 de set."
Vossa Bossa Pinheiros Style,R$ 348,"qua., 13 de set."
"Studio Oscar Freire, na rua mais luxuosa de SP!1120",R$ 574,"qua., 13 de set."
VN Oscar Freire com piscina,R$ 495,"qua., 13 de set."
QY1207 Flat na Faria Lima Com Vaga de Garagem,R$ 503,"qua., 13 de set."
"Dois quartos HC, Metrô e Oscar Freire",R$ 505,"qua., 13 de set."
Lamparina Hostel,R$ 255,"qua., 13 de set."
360 Suítes VN Capote Valente - Apartamentos mobiliados,R$ 450,"qua., 13 de set."
Loft Moderno na Rua Oscar Freire - Jardins,R$ 513,"qua., 13 de set."
Flat Lux Mercure in Pinheiros,R$ 530,"qua., 13 de set."
Duplex de Luxo Oscar Freire,R$ 1.260,"qua., 13 de set."
MichiH - Lindo Studio em Pinheiros,R$ 415,"qua., 13 de set."
Apartamento Contemporâneo Na Oscar Freire,R$ 4.228,"qua., 13 de set."
Pousada e Hostel São Paulo Econômica,R$ 199,"qua., 13 de set."
360 Suítes Summit Pinheiros - Apartamentos Mobiliados,R$ 315,"qua., 13 de set."
Studio exclusivo na Rua Oscar Freire Novo,R$ 455,"qua., 13 de set."
SP-VTFL - Ventura Faria Lima,R$ 420,"qua., 13 de set."
Apto Alto padrão 2 dorms vista para Piscina até 6 pessoas,R$ 970,"qua., 13 de set."
MichiH - Perfeito Studio em Pinheiros,R$ 438,"qua., 13 de set."
Studio no Jardins proximo Metro Oscar Freire,R$ 499,"qua., 13 de set."
Studio no Jardins proximo Metro Oscar Freire,R$ 499,"qua., 13 de set."
MIO106 Studio Em Pinheiros Prox Oscar Freire,R$ 493,"qua., 13 de set."
